Distrito,Causa_Morte,Ano,Obitos
Distrito de Aveiro,Doenças do aparelho respiratório,2008,761
Distrito de Aveiro,SIDA,2008,14
Distrito de Aveiro,Suicídio,2008,39
Distrito de Aveiro,Tuberculose,2008,10
Distrito de Aveiro,Tumores malignos,2008,1424
Distrito de Aveiro,Diabetes,2009,297
Distrito de Aveiro,Doenças do aparelho circulatório,2009,1860
Distrito de Aveiro,Doenças do aparelho digestivo,2009,281
Distrito de Aveiro,Doenças do aparelho respiratório,2009,792
Distrito de Aveiro,SIDA,2009,15
Distrito de Aveiro,Suicídio,2009,42
Distrito de Aveiro,Tuberculose,2009,10
Distrito de Aveiro,Tumores malignos,2009,1448
Distrito de Aveiro,Diabetes,2010,303
Distrito de Aveiro,Doenças do aparelho circulatório,2010,1930
Distrito de Aveiro,Doenças do aparelho digestivo,2010,257
Distrito de Aveiro,Doenças do aparelho respiratório,2010,737
Distrito de Aveiro,SIDA,2010,22
Distrito de Aveiro,Suicídio,2010,59
Distrito de Aveiro,Tuberculose,2010,12
Distrito de Aveiro,Tumores malignos,2010,1497
Distrito de Aveiro,Diabetes,2011,321
Distrito de Aveiro,Doenças do aparelho circulatório,2011,1885
Distrito de Aveiro,Doenças do aparelho digestivo,2011,266
Distrito de Aveiro,Doenças do aparelho respiratório,2011,839
Distrito de Aveiro,SIDA,2011,16
Distrito de Aveiro,Suicídio,2011,40
Distrito de Aveiro,Tuberculose,2011,13
Distrito de Aveiro,Tumores malignos,2011,1449
Distrito de Aveiro,Diabetes,2012,348
Distrito de Aveiro,Doenças do aparelho circulatório,2012,1938
Distrito de Aveiro,Doenças do aparelho digestivo,2012,256
Distrito de Aveiro,Doenças do aparelho respiratório,2012,893
Distrito de Aveiro,SIDA,2012,15
Distrito de Aveiro,Suicídio,2012,39
Distrito de Aveiro,Tuberculose,2012,9
Distrito de Aveiro,Tumores malignos,2012,1531
Distrito de Aveiro,Diabetes,2013,307
Distrito de Aveiro,Doenças do aparelho circulatório,2013,1970
Distrito de Aveiro,Doenças do aparelho digestivo,2013,276
Distrito de Aveiro,Doenças do aparelho respiratório,2013,815
Distrito de Aveiro,SIDA,2013,9
Distrito de Aveiro,Suicídio,2013,43
Distrito de Aveiro,Tuberculose,2013,20
Distrito de Aveiro,Tumores malignos,2013,1547
Distrito de Aveiro,Diabetes,2014,307
Distrito de Aveiro,Doenças do aparelho circulatório,2014,1935
Distrito de Aveiro,Doenças do aparelho digestivo,2014,293
Distrito de Aveiro,Doenças do aparelho respiratório,2014,806
Distrito de Aveiro,SIDA,2014,8
Distrito de Aveiro,Suicídio,2014,53
Distrito de Aveiro,Tuberculose,2014,11
Distrito de Aveiro,Tumores malignos,2014,1513
Distrito de Aveiro,Diabetes,2015,275
Distrito de Aveiro,Doenças do aparelho circulatório,2015,1923
Distrito de Aveiro,Doenças do aparelho digestivo,2015,288
Distrito de Aveiro,Doenças do aparelho respiratório,2015,894
Distrito de Aveiro,SIDA,2015,10
Distrito de Aveiro,Suicídio,2015,55
Distrito de Aveiro,Tuberculose,2015,13
Distrito de Aveiro,Tumores malignos,2015,1564
Distrito de Aveiro,Diabetes,2016,208
Distrito de Aveiro,Doenças do aparelho circulatório,2016,1986
Distrito de Aveiro,Doenças do aparelho digestivo,2016,282
Distrito de Aveiro,Doenças do aparelho respiratório,2016,890
Distrito de Aveiro,SIDA,2016,13
Distrito de Aveiro,Suicídio,2016,51
Distrito de Aveiro,Tuberculose,2016,5
Distrito de Aveiro,Tumores malignos,2016,1628
Distrito de Aveiro,Diabetes,2017,247
Distrito de Aveiro,Doenças do aparelho circulatório,2017,1990
Distrito de Aveiro,Doenças do aparelho digestivo,2017,279
Distrito de Aveiro,Doenças do aparelho respiratório,2017,851
Distrito de Aveiro,SIDA,2017,12
Distrito de Aveiro,Suicídio,2017,45
Distrito de Aveiro,Tuberculose,2017,12
Distrito de Aveiro,Tumores malignos,2017,1710
