"Territórios","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Resende",12344,12299,12203,12100,12003,11905,11817,11720,11598,11467,11318,11151,10984,10814,10662,10554,10454,10335,10217,10130,10035,9915,9811,9695
"Alijó",14219,14007,13787,13562,13322,13086,12865,12622,12369,12103,11806,11571,11421,11259,11112,10993,10875,10765,10650,10569,10495,10402,10343,10310
"Armamar",7438,7356,7255,7134,7016,6905,6794,6667,6536,6399,6285,6186,6086,6012,5943,5878,5830,5785,5743,5733,5733,5710,5672,5643
"Carrazeda de Ansiães",7603,7514,7398,7269,7154,7044,6919,6770,6619,6470,6251,6061,5974,5902,5834,5771,5706,5648,5611,5558,5470,5411,5393,5379
"Freixo de Espada à Cinta",4174,4149,4119,4077,4027,3986,3957,3913,3865,3819,3806,3785,3718,3652,3584,3512,3448,3397,3364,3324,3259,3198,3155,3099
"Lamego",28063,28040,27948,27833,27699,27556,27428,27273,27089,26872,26650,26409,26108,25799,25506,25230,25001,24810,24639,24503,24335,24197,24146,24083
"Mesão Frio",4906,4865,4834,4801,4753,4713,4667,4609,4550,4482,4412,4327,4218,4106,3999,3901,3805,3713,3624,3567,3546,3526,3500,3467
"Moimenta da Beira",11031,10992,10937,10863,10773,10685,10595,10490,10384,10272,10163,10042,9902,9767,9652,9555,9483,9430,9386,9415,9477,9557,9675,9755
"Murça",6719,6660,6604,6524,6445,6365,6279,6186,6091,6004,5926,5846,5752,5666,5587,5514,5463,5417,5367,5311,5259,5231,5240,5243
"Penedono",3434,3403,3360,3308,3255,3208,3161,3106,3052,2995,2962,2946,2913,2874,2845,2824,2796,2775,2768,2774,2788,2793,2798,2806
"Peso da Régua",18759,18645,18538,18406,18229,18047,17889,17708,17485,17263,17044,16764,16451,16148,15855,15576,15320,15092,14875,14701,14561,14461,14415,14339
"Sabrosa",7017,6982,6920,6852,6778,6708,6645,6574,6498,6418,6302,6172,6061,5954,5859,5768,5692,5625,5564,5552,5566,5584,5616,5631
"Santa Marta de Penaguião",8529,8459,8365,8244,8113,7978,7851,7710,7567,7435,7272,7096,6956,6823,6692,6571,6459,6350,6230,6139,6075,6016,5988,5966
"São João da Pesqueira",8622,8574,8505,8440,8360,8283,8221,8134,8040,7953,7820,7665,7530,7413,7305,7196,7096,7009,6928,6871,6834,6795,6774,6758
"Sernancelhe",6211,6187,6141,6077,6018,5964,5906,5841,5778,5716,5692,5681,5634,5587,5554,5528,5506,5511,5571,5637,5678,5719,5766,5806
"Tabuaço",6762,6767,6739,6683,6626,6580,6531,6488,6449,6396,6265,6086,5923,5752,5591,5442,5290,5150,5039,5007,5031,5041,5048,5042
"Tarouca",8293,8303,8283,8262,8237,8229,8227,8191,8146,8099,7965,7809,7705,7601,7507,7441,7388,7343,7320,7333,7366,7430,7547,7660
"Torre de Moncorvo",9855,9741,9626,9504,9369,9231,9096,8955,8815,8681,8388,8078,7893,7708,7546,7396,7267,7137,7011,6896,6808,6763,6740,6688
"Vila Nova de Foz Côa",8448,8355,8240,8120,7986,7873,7778,7651,7519,7392,7231,7093,6992,6899,6814,6710,6601,6504,6416,6357,6319,6308,6344,6376
"Vila Real",50055,50458,50782,51067,51265,51414,51577,51680,51768,51875,51900,51689,51289,50871,50553,50329,50137,49966,49887,49826,49676,49631,49795,49986
"Alfândega da Fé",5930,5862,5788,5709,5621,5524,5434,5348,5264,5165,5049,4937,4841,4758,4671,4599,4542,4496,4453,4387,4309,4258,4234,4200
"Bragança",34797,34982,35097,35199,35260,35296,35343,35377,35412,35413,35592,35690,35480,35243,35029,34917,34896,34890,34934,34874,34749,34887,35231,35503
"Macedo de Cavaleiros",17389,17308,17186,17035,16858,16682,16517,16336,16139,15923,15642,15376,15178,15004,14843,14706,14605,14509,14421,14336,14228,14164,14198,14245
"Miranda do Douro",8044,8029,7988,7927,7866,7803,7749,7704,7635,7552,7438,7312,7186,7052,6945,6854,6756,6668,6599,6538,6454,6375,6326,6259
"Mirandela",25756,25663,25515,25326,25116,24917,24722,24500,24272,24030,23818,23586,23277,22982,22709,22434,22178,21939,21736,21576,21416,21328,21356,21367
"Mogadouro",11160,11024,10864,10692,10514,10356,10205,10014,9827,9657,9450,9265,9142,9024,8906,8797,8699,8613,8527,8447,8353,8277,8249,8203
"Vila Flor",7862,7769,7660,7551,7436,7318,7197,7052,6901,6772,6662,6572,6496,6412,6325,6261,6218,6169,6122,6102,6079,6042,6034,6031
"Vimioso",5297,5251,5187,5127,5074,4999,4921,4861,4802,4738,4649,4569,4514,4462,4403,4346,4292,4255,4239,4197,4153,4144,4162,4175
"Vinhais",10576,10449,10321,10175,10024,9864,9715,9554,9387,9205,8943,8723,8585,8453,8343,8228,8112,8013,7919,7815,7690,7569,7482,7403
"Águeda",48991,49047,48996,48898,48798,48660,48484,48311,48093,47875,47772,47583,47204,46827,46539,46319,46161,46027,46070,46267,46418,46579,46942,47474
"Albergaria-a-Velha",24673,24803,24898,24968,25016,25063,25124,25190,25233,25263,25329,25312,25183,25053,24928,24813,24750,24744,24797,24921,25099,25263,25552,25975
"Anadia",31443,31338,31167,30936,30684,30447,30200,29926,29640,29352,29138,28930,28639,28378,28166,27967,27782,27608,27530,27614,27782,27875,28041,28359
"Aveiro",73535,74298,74928,75459,75963,76447,76916,77367,77834,78274,78759,79073,79077,79092,79196,79391,79720,80227,81048,81446,81956,83196,84919,87096
"Estarreja",28127,28073,28007,27908,27784,27679,27573,27429,27258,27094,27057,26998,26782,26580,26431,26316,26188,26131,26209,26328,26458,26595,26877,27286
"Ílhavo",37229,37472,37676,37856,37993,38120,38258,38381,38491,38583,38661,38657,38552,38414,38342,38345,38377,38445,38665,39132,39826,40586,41534,42670
"Murtosa",9502,9652,9791,9912,10014,10135,10262,10361,10459,10559,10576,10526,10469,10405,10361,10322,10295,10307,10373,10469,10588,10696,10880,11198
"Oliveira do Bairro",21221,21473,21698,21890,22053,22221,22405,22600,22785,22950,23090,23094,22956,22830,22780,22756,22739,22780,22952,23192,23537,24012,24652,25417
"Ovar",55221,55422,55569,55601,55601,55632,55626,55598,55564,55487,55461,55386,55171,54930,54729,54618,54559,54548,54714,55030,55388,55736,56311,57208
"Sever do Vouga",13140,13119,13064,12979,12902,12818,12729,12645,12554,12449,12299,12124,11961,11807,11677,11539,11393,11274,11194,11129,11051,10964,10930,10984
"Vagos",22038,22214,22339,22419,22468,22547,22642,22730,22800,22848,22917,22900,22792,22682,22602,22560,22531,22575,22709,22915,23218,23565,24090,24810
"Arganil",13584,13476,13344,13196,13050,12905,12737,12572,12419,12262,12152,12035,11856,11691,11567,11457,11336,11226,11156,11156,11174,11155,11227,11380
"Cantanhede",37839,37823,37759,37639,37518,37383,37240,37100,36959,36778,36615,36376,35996,35627,35300,35019,34757,34547,34451,34437,34410,34419,34681,35158
"Coimbra",148260,148147,147808,147374,146896,146349,145802,145238,144617,143945,143500,143227,142820,142434,142243,142130,142043,142077,142498,142223,141727,142351,143818,145861
"Condeixa-a-Nova",15420,15608,15794,15968,16128,16286,16481,16678,16858,17029,17183,17212,17107,16991,16911,16857,16821,16784,16765,16796,16905,17099,17380,17719
"Figueira da Foz",62604,62751,62846,62852,62829,62799,62701,62571,62458,62329,62295,62026,61408,60813,60334,59911,59451,59069,58944,59149,59370,59612,60245,61034
"Góis",4840,4783,4727,4669,4608,4552,4502,4445,4383,4313,4271,4233,4174,4122,4071,4021,3964,3902,3853,3822,3794,3777,3787,3811
"Lousã",15826,16051,16249,16433,16618,16819,17039,17228,17387,17544,17626,17571,17445,17315,17215,17137,17067,17004,16957,17003,17109,17188,17318,17541
"Mealhada",20740,20762,20750,20715,20686,20673,20669,20644,20578,20501,20428,20318,20146,19969,19834,19716,19584,19458,19395,19409,19487,19584,19705,19905
"Mira",12846,12843,12819,12786,12759,12710,12654,12615,12577,12525,12502,12459,12373,12285,12198,12138,12092,12051,12055,12132,12215,12268,12407,12622
"Miranda do Corvo",13078,13109,13136,13132,13120,13143,13163,13162,13163,13148,13161,13115,12952,12792,12651,12530,12404,12256,12141,12089,12074,12051,12074,12193
"Montemor-o-Velho",25550,25667,25722,25769,25822,25877,25922,25990,26080,26164,26166,26014,25766,25497,25269,25073,24868,24674,24559,24604,24699,24721,24805,25010
"Mortágua",10347,10310,10270,10215,10127,10032,9942,9858,9770,9679,9589,9503,9414,9318,9231,9158,9086,9033,9018,9024,9020,8978,9002,9082
"Oliveira do Hospital",22067,22004,21908,21785,21656,21527,21415,21300,21162,20993,20820,20641,20423,20201,20028,19866,19712,19574,19480,19487,19492,19392,19388,19537
"Pampilhosa da Serra",5201,5144,5068,4994,4926,4859,4794,4712,4629,4548,4469,4377,4299,4258,4221,4182,4144,4107,4097,4094,4077,4073,4106,4160
"Penacova",16674,16590,16446,16290,16153,16007,15855,15707,15546,15375,15180,14960,14720,14472,14250,14032,13799,13582,13397,13246,13097,12953,12904,12935
"Penela",6571,6525,6465,6395,6317,6251,6199,6137,6078,6023,5977,5918,5832,5751,5686,5627,5560,5505,5470,5463,5487,5518,5573,5663
"Soure",20877,20743,20573,20404,20251,20111,19956,19765,19588,19405,19218,18999,18741,18478,18217,17999,17774,17554,17391,17316,17296,17214,17193,17270
"Tábua",12592,12577,12547,12494,12439,12388,12324,12274,12225,12152,12109,12028,11877,11735,11618,11505,11385,11265,11174,11207,11307,11379,11506,11693
"Vila Nova de Poiares",7063,7086,7120,7147,7168,7201,7216,7234,7261,7280,7349,7364,7269,7177,7100,7027,6949,6875,6830,6849,6940,7028,7098,7201
"Alvaiázere",8419,8334,8213,8085,7958,7840,7725,7598,7479,7372,7222,7072,6950,6824,6722,6607,6490,6388,6308,6284,6299,6300,6323,6417
"Ansião",13709,13698,13658,13602,13553,13503,13453,13384,13306,13220,13144,13019,12815,12620,12448,12284,12093,11898,11765,11735,11730,11708,11785,11898
"Batalha",15029,15173,15280,15347,15407,15479,15577,15669,15733,15796,15758,15646,15558,15476,15432,15398,15362,15352,15398,15524,15720,15984,16349,16730
"Castanheira de Pêra",3710,3670,3622,3569,3508,3447,3398,3345,3289,3234,3182,3126,3065,3003,2944,2881,2820,2775,2736,2702,2691,2688,2696,2733
"Figueiró dos Vinhos",7305,7205,7087,6963,6835,6716,6609,6496,6374,6254,6111,5983,5881,5777,5693,5620,5546,5462,5384,5330,5287,5239,5242,5298
"Leiria",120130,121279,122227,123046,123775,124471,125169,125755,126261,126722,127348,127566,127168,126801,126650,126686,126774,126948,127563,128579,129586,130762,132614,134901
"Marinha Grande",35720,36175,36568,36894,37197,37498,37794,38061,38322,38594,38754,38716,38605,38478,38398,38415,38469,38536,38699,39024,39432,39894,40576,41392
"Pedrógão Grande",4385,4364,4326,4278,4217,4156,4103,4058,4017,3965,3892,3819,3754,3691,3642,3597,3538,3485,3446,3437,3474,3514,3576,3673
"Pombal",56271,56394,56373,56296,56170,56077,56001,55860,55687,55469,55295,54936,54270,53602,53026,52490,51959,51474,51204,51331,51470,51397,51690,52300
"Porto de Mós",24260,24332,24384,24410,24419,24416,24413,24405,24397,24383,24360,24237,24007,23761,23560,23397,23232,23085,23018,23163,23414,23594,23832,24154
"Aguiar da Beira",6227,6190,6126,6045,5968,5900,5823,5726,5628,5539,5674,5818,5759,5697,5626,5555,5488,5434,5392,5361,5332,5299,5293,5314
"Carregal do Sal",10376,10351,10325,10274,10218,10165,10104,10020,9947,9879,9815,9734,9627,9531,9445,9353,9252,9179,9139,9112,9093,9082,9128,9219
"Castro Daire",16895,16798,16670,16519,16342,16172,16011,15829,15654,15468,15221,14977,14791,14619,14467,14303,14152,14012,13892,13825,13740,13653,13677,13761
"Mangualde",20945,20912,20815,20714,20617,20512,20400,20256,20125,20001,19863,19698,19488,19252,19044,18860,18665,18500,18390,18389,18396,18348,18461,18679
"Nelas",14269,14291,14282,14256,14241,14216,14205,14191,14139,14071,14048,13973,13807,13658,13518,13408,13321,13222,13155,13181,13216,13182,13239,13416
"Oliveira de Frades",10584,10589,10548,10504,10475,10442,10409,10380,10348,10301,10237,10151,10044,9929,9827,9727,9629,9562,9548,9563,9613,9641,9693,9802
